STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MARKET_TYPE,Market type,PHARMACEUTICAL,Pharmaceutical,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2011,,1.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2011,,38.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2012,,38.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2012,,2.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2013,,2.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2013,,39,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2014,,39.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2014,,2.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2015,,2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2015,,39.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2016,,39.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2016,,2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2017,,1.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2017,,40.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2018,,41.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2018,,2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2019,,2.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2019,,42.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2020,,43.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2020,,2.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2021,,2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2021,,44.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2022,,45.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2022,,2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2023,,2.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,ITA,Italy,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2023,,47.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2012,,9.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2012,,13.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2013,,14,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2013,,10.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2014,,11.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2014,,14,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2015,,14.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2015,,12.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2016,,13.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2016,,15,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2017,,15.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2017,,15,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2018,,16.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2018,,15,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2019,,15.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2019,,17.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2020,,19.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2020,,16.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2021,,16,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2021,,21.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2022,,24.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2022,,15.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2023,,16.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2023,,26.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2024,,28.5,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,LVA,Latvia,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2024,,16.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2010,,11.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2010,,13.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2012,,15.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2012,,14.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2013,,14.9,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2013,,17,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2014,,18,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2014,,13.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2015,,13.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2015,,20.3,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2017,,11.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2017,,18.8,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2018,,21,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2018,,12.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2019,,12.6,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2019,,23.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2020,,27.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2020,,14,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2021,,14.4,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2021,,31.1,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N06A,Antidepressants,2022,,34.2,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2022,,14.7,,,,,,,,0,Units,,
DATAFLOW,OECD.ELS.HD:HEALTH_PHMC@DF_KEY_INDIC(1.1),Pharmaceutical market,I,KOR,Korea,PH_CON,Pharmaceutical consumption,DDD_10P3HB,Defined daily dose per 1 000 inhabitants per day,_Z,Not applicable,N05B,Anxiolytics,2023,,14.4,,,,,,,,0,Units,,
